Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Fix_quality
1666975319.3230002,0,60119,0,GPS1_Frame,42.34442166666666,-71.08039666666667,19.2,328635.16280169855,4690114.203678594,19,T,1
1666975320.3220913,0,60120,0,GPS1_Frame,42.344384999999996,-71.08034666666667,19.3,328639.1819111138,4690110.0313440915,19,T,1
1666975321.324561,0,60121,0,GPS1_Frame,42.34434833333333,-71.08029166666667,19.3,328643.61289906973,4690105.848934616,19,T,1
1666975322.3204024,0,60122,0,GPS1_Frame,42.34430833333332,-71.08024,19.5,328647.7602536094,4690101.3031047685,19,T,1
1666975323.3219464,0,60123,0,GPS1_Frame,42.344271666666664,-71.08018999999999,19.9,328651.7793781224,4690097.13077801,19,T,1
1666975324.321252,0,60124,0,GPS1_Frame,42.34423833333334,-71.08014166666666,19.9,328655.6702716995,4690093.331954087,19,T,1
1666975325.3224478,0,60125,0,GPS1_Frame,42.344206666666665,-71.080095,19.7,328659.4284057332,4690089.721562022,19,T,1
1666975326.3213289,0,60126,0,GPS1_Frame,42.34417333333334,-71.080045,19.5,328663.4565992566,4690085.919383884,19,T,1
1666975327.3273096,0,60127,0,GPS1_Frame,42.34413500000001,-71.07999,19.3,328667.8830897184,4690081.551920053,19,T,1
1666975328.3233755,0,60128,0,GPS1_Frame,42.344095,-71.07993,19.0,328672.71693370596,4690076.989312798,19,T,1
1666975329.3207793,0,60129,0,GPS1_Frame,42.34405,-71.079865,19.1,328677.9490779593,4690071.861421553,19,T,1
1666975330.3231146,0,60130,0,GPS1_Frame,42.34400333333333,-71.07979999999999,18.9,328683.1767028673,4690066.548463758,19,T,1
1666975331.3214731,0,60131,0,GPS1_Frame,42.343956666666664,-71.07973333333332,18.8,328688.5416278776,4690061.232151897,19,T,1
1666975332.3219323,0,60132,0,GPS1_Frame,42.34391166666666,-71.07966333333334,18.7,328694.18567224534,4690056.09419889,19,T,1
1666975333.3210654,0,60133,0,GPS1_Frame,42.34386500000001,-71.07959166666666,18.6,328699.9624905976,4690050.767821984,19,T,1
1666975334.3234375,0,60134,0,GPS1_Frame,42.34382000000001,-71.07952,18.4,328705.7438442317,4690045.626520855,19,T,1
1666975335.3226423,0,60135,0,GPS1_Frame,42.34377500000001,-71.07945166666667,18.2,328711.2506214364,4690040.49194034,19,T,1
1666975336.3238533,0,60136,0,GPS1_Frame,42.34372833333334,-71.07938666666668,17.9,328716.47829546884,4690035.179009062,19,T,1
1666975337.3270786,0,60137,0,GPS1_Frame,42.34367999999999,-71.07931833333333,17.8,328721.9760368761,4690029.674296117,19,T,1
1666975338.3226585,0,60138,0,GPS1_Frame,42.34363,-71.07924833333333,17.7,328727.6065539585,4690023.981159629,19,T,1
1666975339.3245573,0,60139,0,GPS1_Frame,42.34357833333333,-71.07917666666667,17.7,328733.36984750757,4690018.0995999435,19,T,1
1666975340.3212976,0,60140,0,GPS1_Frame,42.343529999999994,-71.07910833333334,17.6,328738.86761589383,4690012.594901173,19,T,1
1666975341.3228834,0,60141,0,GPS1_Frame,42.34348166666667,-71.07904333333333,17.5,328744.090806799,4690007.096921247,19,T,1
1666975342.321112,0,60142,0,GPS1_Frame,42.34343833333334,-71.07898,17.3,328749.19028853334,4690002.1575146,19,T,1
1666975343.3239229,0,60143,0,GPS1_Frame,42.34339333333334,-71.07892166666667,17.4,328753.87337252375,4689997.043111964,19,T,1
1666975344.321921,0,60144,0,GPS1_Frame,42.343355,-71.07886833333333,17.3,328758.1626832432,4689992.679065957,19,T,1
1666975345.3221896,0,60145,0,GPS1_Frame,42.34332500000001,-71.07882500000001,17.1,328761.6508630493,4689989.260516745,19,T,1
1666975346.3201978,0,60146,0,GPS1_Frame,42.34330333333334,-71.07879,16.9,328764.4752028139,4689986.7841063365,19,T,1
1666975347.3184903,0,60147,0,GPS1_Frame,42.34328833333334,-71.07876666666667,16.8,328766.35658884735,4689985.071476505,19,T,1
1666975348.3188748,0,60148,0,GPS1_Frame,42.34328000000001,-71.07875333333332,16.7,328767.4323133875,4689984.119269795,19,T,1
1666975349.3191843,0,60149,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.6,328767.9724381276,4689983.735701851,19,T,1
1666975350.3165677,0,60150,0,GPS1_Frame,42.34327666666666,-71.078745,16.6,328768.1097316768,4689983.732345217,19,T,1
1666975351.3160493,0,60151,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.6,328767.9724381276,4689983.735701851,19,T,1
1666975352.318156,0,60152,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.6,328767.9724381276,4689983.735701851,19,T,1
1666975353.3163242,0,60153,0,GPS1_Frame,42.34327666666666,-71.07874666666666,16.5,328767.9724381276,4689983.735701851,19,T,1
